2023-06-11 21:03:22,874 INFO    StreamThr :13225 [internal.py:wandb_internal():86] W&B internal server running at pid: 13225, started at: 2023-06-11 21:03:22.874142
2023-06-11 21:03:22,875 DEBUG   HandlerThread:13225 [handler.py:handle_request():144] handle_request: status
2023-06-11 21:03:22,879 INFO    WriterThread:13225 [datastore.py:open_for_write():85] open: /home/qcqced/바탕화면/ML_Test/FeedBackPrize_2/wandb/run-20230611_210322-6zafk6ii/run-6zafk6ii.wandb
2023-06-11 21:03:22,880 DEBUG   SenderThread:13225 [sender.py:send():375] send: header
2023-06-11 21:03:22,897 DEBUG   SenderThread:13225 [sender.py:send():375] send: run
2023-06-11 21:03:23,370 INFO    SenderThread:13225 [dir_watcher.py:__init__():219] watching files in: /home/qcqced/바탕화면/ML_Test/FeedBackPrize_2/wandb/run-20230611_210322-6zafk6ii/files
2023-06-11 21:03:23,370 DEBUG   HandlerThread:13225 [handler.py:handle_request():144] handle_request: check_version
2023-06-11 21:03:23,370 INFO    SenderThread:13225 [sender.py:_start_run_threads():1124] run started: 6zafk6ii with start time 1686485002.875026
2023-06-11 21:03:23,370 DEBUG   SenderThread:13225 [sender.py:send_request():402] send_request: summary_record
2023-06-11 21:03:23,370 INFO    SenderThread:13225 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-11 21:03:23,370 DEBUG   SenderThread:13225 [sender.py:send_request():402] send_request: check_version
2023-06-11 21:03:23,441 DEBUG   HandlerThread:13225 [handler.py:handle_request():144] handle_request: run_start
2023-06-11 21:03:23,446 DEBUG   HandlerThread:13225 [system_info.py:__init__():31] System info init
2023-06-11 21:03:23,446 DEBUG   HandlerThread:13225 [system_info.py:__init__():46] System info init done
2023-06-11 21:03:23,447 INFO    HandlerThread:13225 [system_monitor.py:start():181] Starting system monitor
2023-06-11 21:03:23,447 INFO    SystemMonitor:13225 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-06-11 21:03:23,447 INFO    HandlerThread:13225 [system_monitor.py:probe():201] Collecting system info
2023-06-11 21:03:23,447 INFO    SystemMonitor:13225 [interfaces.py:start():190] Started cpu monitoring
2023-06-11 21:03:23,448 INFO    SystemMonitor:13225 [interfaces.py:start():190] Started disk monitoring
2023-06-11 21:03:23,448 INFO    SystemMonitor:13225 [interfaces.py:start():190] Started gpu monitoring
2023-06-11 21:03:23,448 INFO    SystemMonitor:13225 [interfaces.py:start():190] Started memory monitoring
2023-06-11 21:03:23,448 INFO    SystemMonitor:13225 [interfaces.py:start():190] Started network monitoring
2023-06-11 21:03:23,460 DEBUG   HandlerThread:13225 [system_info.py:probe():195] Probing system
2023-06-11 21:03:23,463 DEBUG   HandlerThread:13225 [system_info.py:_probe_git():180] Probing git
2023-06-11 21:03:23,469 DEBUG   HandlerThread:13225 [system_info.py:_probe_git():188] Probing git done
2023-06-11 21:03:23,469 DEBUG   HandlerThread:13225 [system_info.py:probe():240] Probing system done
